id,intent,question,answer,category,keywords,difficulty,source
general_qa_0035,GENERAL,What after getting COI?,"Post-incorporation: (1) Open bank account, (2) Get GST registration if needed, (3) Appoint auditor, (4) Conduct first board meeting, (5) Issue share certificates, (6) Get PF/ESI if hiring, (7) Get business licenses",company_registration,"post incorporation, after coi",beginner,Comprehensive manual curation
general_qa_0036,GENERAL,What is Certificate of Incorporation?,"COI is proof of company's legal existence issued by ROC. Contains: Company name, CIN, incorporation date, registered office, ROC jurisdiction. Also includes PAN and TAN.",company_registration,"coi, incorporation certificate",beginner,Comprehensive manual curation
general_qa_0037,GENERAL,What is CIN?,Corporate Identity Number - unique 21-character alphanumeric code for every company. Format: L/U + Industry code + State code + Year + Company type + Serial number + Check digit.,company_registration,"cin, company number",beginner,Comprehensive manual curation
general_qa_0038,GENERAL,What is Startup India?,"Government initiative launched Jan 2016 to build startup ecosystem. Provides tax benefits, easier compliance, funding access, IPR support, and networking opportunities to eligible startups.",startup_india,"startup india, dpiit",beginner,Comprehensive manual curation
general_qa_0039,GENERAL,Startup India eligibility?,"Criteria: (1) Pvt Ltd/LLP/Partnership, (2) <10 years old, (3) Turnover <₹100Cr, (4) Working on innovation/improvement, (5) Not formed by splitting existing business, (6) DPIIT recognition",startup_india,"eligibility, dpiit recognition",beginner,Comprehensive manual curation
general_qa_0040,GENERAL,Startup India benefits?,"Benefits: (1) 3-year tax exemption, (2) Self-certification for 6 labor + 3 environment laws, (3) Access to Fund of Funds (₹10,000Cr), (4) Seed Fund (₹945Cr), (5) 80% patent fee rebate, (6) Fast-track patent, (7) Networking",startup_india,"benefits, tax exemption",beginner,Comprehensive manual curation
general_qa_0041,GENERAL,How to register for Startup India?,"Steps: (1) Incorporate company first, (2) Create profile on startupindia.gov.in, (3) Apply for DPIIT recognition via NSWS portal, (4) Upload documents: COI, PAN, innovation description, (5) Get recognition certificate",startup_india,"registration process, dpiit",beginner,Comprehensive manual curation
general_qa_0042,GENERAL,Is Startup India registration free?,"Yes, completely free. No government fees for DPIIT recognition. May have professional fees for documentation help.",startup_india,"registration fee, cost",beginner,Comprehensive manual curation
general_qa_0043,GENERAL,What is 3-year tax exemption?,Income tax exemption for 3 consecutive years out of first 10 years. Must get certification from Inter-Ministerial Board (IMB). Startup must be innovative and scalable.,startup_india,"tax exemption, income tax",beginner,Comprehensive manual curation
general_qa_0044,GENERAL,How to get tax exemption certificate?,"Apply to IMB with: (1) DPIIT recognition, (2) Business plan, (3) Innovation proof, (4) Scalability potential, (5) Job creation plan. IMB reviews and grants certificate if approved.",startup_india,"imb, tax certificate",beginner,Comprehensive manual curation
general_qa_0045,GENERAL,What is angel tax exemption?,Exemption from Section 56(2)(viib) - tax on investments above fair market value. DPIIT recognized startups with turnover <₹25Cr exempt from angel tax.,startup_india,"angel tax, section 56",beginner,Comprehensive manual curation
general_qa_0046,GENERAL,What is Fund of Funds?,"₹10,000 crore corpus managed by SIDBI. Doesn't invest directly in startups. Invests in SEBI-registered AIFs (daughter funds), who then invest in startups. 129 AIFs supported, 939 startups funded.",startup_india,"ffs, fund of funds, sidbi",beginner,Comprehensive manual curation
general_qa_0047,GENERAL,What is Seed Fund Scheme?,"₹945 crore scheme providing grants to early-stage startups. Up to ₹20L for proof of concept, up to ₹50L for product development. For DPIIT recognized startups <2 years old.",startup_india,"seed fund, sisfs, grants",beginner,Comprehensive manual curation
general_qa_0048,GENERAL,How to apply for Seed Fund?,Apply through incubators empanelled under SISFS. Incubator evaluates and recommends to Expert Advisory Committee. Grants given for concept validation and market entry.,startup_india,seed fund application,beginner,Comprehensive manual curation
general_qa_0049,GENERAL,What IPR benefits for startups?,"Benefits: (1) 80% rebate on patent filing fees, (2) 50% rebate on trademark fees, (3) Fast-track examination, (4) Panel of facilitators for filing, (5) Government pays facilitator fees",startup_india,"ipr, patent, trademark",beginner,Comprehensive manual curation
general_qa_0050,GENERAL,What is SIPP scheme?,Startup Intellectual Property Protection - helps startups file patents/trademarks at reduced cost. Government empanels facilitators and bears their fees. Startups pay only statutory fees.,startup_india,"sipp, ip protection",beginner,Comprehensive manual curation
general_qa_0051,GENERAL,What is self-certification?,"DPIIT startups can self-certify compliance for 6 labor laws and 3 environment laws for 3-5 years. Reduces inspection burden. Must still comply, just no routine inspections.",startup_india,"self certification, compliance",beginner,Comprehensive manual curation
general_qa_0052,GENERAL,What is startup funding?,"Capital raised from external sources (investors, VCs, angels, banks) to start or grow business. Can be equity (selling ownership) or debt (borrowing with interest).",funding,"startup funding, capital",beginner,Comprehensive manual curation
general_qa_0053,GENERAL,Equity vs Debt financing?,"Equity: Sell ownership for capital, no repayment, dilute ownership, investors share risk. Debt: Borrow with interest, repay regardless of performance, retain ownership, fixed obligations.",funding,"equity, debt, financing",beginner,Comprehensive manual curation
general_qa_0054,GENERAL,When to raise funding?,"Raise when: (1) Have product-market fit, (2) Need capital to scale, (3) Can't bootstrap further, (4) Have traction/revenue, (5) Clear use of funds, (6) Ready to dilute equity",funding,"when to raise, fundraising timing",beginner,Comprehensive manual curation
general_qa_0055,GENERAL,How much funding to raise?,"Raise enough for: (1) 18-24 months runway, (2) Achieve next milestone, (3) Reach next funding round, (4) Buffer for delays. Don't raise too much (dilution) or too little (run out).",funding,"funding amount, how much",beginner,Comprehensive manual curation
general_qa_0056,GENERAL,What is dilution?,Reduction in ownership % when new shares issued. Example: You own 100% of 100 shares. Issue 25 new shares to investor. Your ownership becomes 80% (100/125 shares).,funding,"dilution, equity dilution",beginner,Comprehensive manual curation
general_qa_0057,GENERAL,What is bootstrapping?,"Self-funding using personal savings, revenue, or friends/family money. No external investors. Retain 100% ownership. Slower growth but full control.",funding,"bootstrapping, self funding",beginner,Comprehensive manual curation
general_qa_0058,GENERAL,What is pre-seed funding?,"Earliest stage funding to develop MVP and validate idea. Typically ₹10L-50L from founders, friends, family, or angel investors. Before product launch.",funding,"pre-seed, early stage",beginner,Comprehensive manual curation
general_qa_0059,GENERAL,What is seed funding?,"First official funding round to build product and gain traction. Typically ₹50L-5Cr from angel investors, micro-VCs, accelerators. After MVP, before significant revenue.",funding,"seed funding, seed round",beginner,Comprehensive manual curation
general_qa_0060,GENERAL,What is Series A?,"First institutional VC round to scale proven business model. Typically ₹5Cr-50Cr. Need strong traction, revenue, and growth metrics. Focus on scaling user base.",funding,"series a, series a funding",beginner,Comprehensive manual curation
general_qa_0061,GENERAL,What is Series B?,Funding to expand market reach and team. Typically ₹50Cr-200Cr. Need consistent revenue growth and market leadership in segment. Scale operations.,funding,series b,beginner,Comprehensive manual curation
general_qa_0062,GENERAL,What is Series C and beyond?,"Late-stage funding for market expansion, acquisitions, or pre-IPO. ₹200Cr+. Mature startups with strong revenue and profitability path. Prepare for exit.",funding,"series c, late stage",beginner,Comprehensive manual curation
general_qa_0063,GENERAL,What is bridge round?,Short-term funding between major rounds or before IPO. Typically debt or convertible notes. Helps extend runway until next milestone.,funding,"bridge round, bridge financing",beginner,Comprehensive manual curation
general_qa_0064,GENERAL,What is Angel Investor?,High net-worth individual investing personal money in early-stage startups for equity. Typically ₹10L-2Cr. Often provide mentorship and connections.,funding,"angel investor, angel",beginner,Comprehensive manual curation
general_qa_0065,GENERAL,What is Venture Capitalist?,Professional investor/firm investing in high-growth startups for equity. Manage funds from LPs. Invest ₹5Cr-500Cr+. Provide strategic guidance and network.,funding,"vc, venture capital",beginner,Comprehensive manual curation
general_qa_0066,GENERAL,What is difference between Angel and VC?,"Angel: Personal money, smaller amounts (₹10L-2Cr), earlier stage, hands-on mentorship. VC: Fund money, larger amounts (₹5Cr+), later stage, board involvement, professional management.",funding,angel vs vc,beginner,Comprehensive manual curation
general_qa_0067,GENERAL,What is accelerator?,"Program providing mentorship, resources, and seed funding (₹10L-50L) for equity (5-10%). Typically 3-6 months. Examples: Y Combinator, Techstars, 500 Startups.",funding,"accelerator, incubator",beginner,Comprehensive manual curation
general_qa_0068,GENERAL,What is incubator?,"Organization providing workspace, mentorship, and resources to early-stage startups. May or may not take equity. Longer duration than accelerators (1-2 years).",funding,incubator,beginner,Comprehensive manual curation
general_qa_0069,GENERAL,What is valuation?,"Estimated worth of company. Pre-money: value before investment. Post-money: pre-money + investment. Determines investor's equity %. Example: ₹10Cr pre-money + ₹2Cr investment = ₹12Cr post-money, investor gets 16.67%.",funding,"valuation, pre-money, post-money",beginner,Comprehensive manual curation
general_qa_0070,GENERAL,What is term sheet?,"Non-binding document outlining investment terms: valuation, amount, equity %, liquidation preference, board seats, anti-dilution, vesting. Blueprint for final agreements.",funding,"term sheet, investment terms",beginner,Comprehensive manual curation
general_qa_0071,GENERAL,What is liquidation preference?,Investor's right to get paid first during exit (acquisition/liquidation). 1x means investor gets investment back before others. 2x means 2× investment back first.,funding,liquidation preference,beginner,Comprehensive manual curation
general_qa_0072,GENERAL,What is anti-dilution?,Protection for investors if future rounds at lower valuation. Full ratchet: adjust to new low price. Weighted average: proportional adjustment. Protects early investors.,funding,anti-dilution,beginner,Comprehensive manual curation
general_qa_0073,GENERAL,What is vesting?,"Gradual earning of equity over time. Typical: 4-year vesting with 1-year cliff. Cliff: no shares until 1 year. After cliff, monthly/quarterly vesting. Prevents founders from leaving early.",funding,"vesting, cliff",beginner,Comprehensive manual curation
general_qa_0074,GENERAL,What is cap table?,"Capitalization table showing ownership structure: who owns how many shares, what %, at what price. Tracks dilution across funding rounds. Critical for fundraising.",funding,"cap table, ownership",beginner,Comprehensive manual curation
general_qa_0075,GENERAL,What is convertible note?,"Debt that converts to equity in future round. Has interest rate, maturity date, discount (15-25%), and valuation cap. Common in seed stage.",funding,convertible note,beginner,Comprehensive manual curation
general_qa_0076,GENERAL,What is SAFE?,"Simple Agreement for Future Equity - investment now for equity later. No interest, no maturity. Has discount and/or valuation cap. Simpler than convertible note.",funding,"safe, simple agreement",beginner,Comprehensive manual curation
general_qa_0077,GENERAL,What is CCPS?,Compulsorily Convertible Preference Shares - Indian legal structure for startup investment. Preference shares that must convert to equity at trigger event (next round/IPO). Standard for VC deals in India.,funding,"ccps, preference shares",beginner,Comprehensive manual curation
general_qa_0078,GENERAL,What is pro-rata rights?,Investor's right to maintain ownership % in future rounds by investing proportionally. Prevents dilution. Example: 10% owner can invest 10% of next round.,funding,"pro-rata, preemptive rights",beginner,Comprehensive manual curation
general_qa_0079,GENERAL,How to prepare for fundraising?,"Preparation: (1) Strong pitch deck, (2) Financial projections, (3) Clean cap table, (4) Legal compliance, (5) Traction metrics, (6) Competitive analysis, (7) Use of funds plan, (8) Team bios",funding,fundraising preparation,beginner,Comprehensive manual curation
general_qa_0080,GENERAL,What is pitch deck?,"10-15 slide presentation covering: Problem, Solution, Market size, Product, Traction, Business model, Competition, Team, Financials, Ask. Keep concise and compelling.",funding,"pitch deck, presentation",beginner,Comprehensive manual curation
general_qa_0081,GENERAL,How long does fundraising take?,"Typically 3-6 months from first meeting to money in bank. Stages: Pitch (1-2 months), Due diligence (1-2 months), Term sheet negotiation (2-4 weeks), Legal docs (1-2 months).",funding,fundraising timeline,beginner,Comprehensive manual curation
general_qa_0082,GENERAL,What is GST?,"Goods and Services Tax - indirect tax on supply of goods/services. Replaced multiple taxes (VAT, service tax, excise). Single tax across India. Rates: 0%, 5%, 12%, 18%, 28%.",legal_compliance,"gst, tax",beginner,Comprehensive manual curation
general_qa_0083,GENERAL,When is GST mandatory?,"Mandatory if: (1) Turnover >₹40L (goods) or >₹20L (services), (2) Inter-state supply, (3) E-commerce operator, (4) Import/export, (5) Casual/non-resident taxable person. Voluntary if below threshold.",legal_compliance,"gst mandatory, gst registration",beginner,Comprehensive manual curation
general_qa_0084,GENERAL,How to register for GST?,"Register on gst.gov.in with: PAN, business proof, bank details, address proof. Get GSTIN (15-digit number). Free process. Takes 2-6 working days.",legal_compliance,gst registration process,beginner,Comprehensive manual curation
general_qa_0085,GENERAL,What are GST returns?,"Monthly/Quarterly filings reporting sales, purchases, tax collected, tax paid. GSTR-1 (sales), GSTR-3B (summary). Due dates: 10th-20th of next month. Late filing = penalty.",legal_compliance,"gst returns, gstr",beginner,Comprehensive manual curation
general_qa_0086,GENERAL,What is input tax credit?,"Credit for GST paid on purchases, can be used to offset GST on sales. Example: Paid ₹18 GST on ₹100 purchase, collected ₹36 GST on ₹200 sale. Pay only ₹18 (₹36-₹18) to government.",legal_compliance,"input tax credit, itc",beginner,Comprehensive manual curation
general_qa_0087,GENERAL,What is PAN?,"Permanent Account Number - 10-character alphanumeric tax ID. Mandatory for: Bank accounts, financial transactions >₹50K, GST, ITR filing. Issued by Income Tax Department.",legal_compliance,"pan, permanent account",beginner,Comprehensive manual curation
general_qa_0088,GENERAL,What is TAN?,Tax Deduction and Collection Account Number - 10-character alphanumeric ID for entities deducting TDS. Mandatory if paying salaries or making TDS deductions.,legal_compliance,"tan, tds",beginner,Comprehensive manual curation
general_qa_0089,GENERAL,What is MSME registration?,"Udyam Registration for Micro, Small, Medium Enterprises. Free online registration on udyamregistration.gov.in. Benefits: Easy loans, lower interest, subsidies, tax benefits, government tenders.",legal_compliance,"msme, udyam",beginner,Comprehensive manual curation
general_qa_0090,GENERAL,What is Shop Act license?,"License for commercial establishments under Shops and Establishments Act. Regulates working hours, holidays, wages. Mandatory for physical offices. State-specific. Apply to labor department.",legal_compliance,"shop act, establishment license",beginner,Comprehensive manual curation
general_qa_0091,GENERAL,What is FSSAI license?,"Food Safety and Standards Authority of India license. Mandatory for food businesses. Types: Basic (turnover <₹12L), State (₹12L-20Cr), Central (>₹20Cr). Apply on fssai.gov.in.",legal_compliance,"fssai, food license",beginner,Comprehensive manual curation
general_qa_0092,GENERAL,What is IEC code?,Import Export Code - 10-digit number for international trade. Mandatory for import/export. Lifetime validity. Apply on DGFT website. Free since 2020.,legal_compliance,"iec, import export",beginner,Comprehensive manual curation
general_qa_0093,GENERAL,What is professional tax?,State-level tax on professionals and salaried employees. Rates vary by state (₹200-2500/year). Employer deducts and pays. Not applicable in all states.,legal_compliance,professional tax,beginner,Comprehensive manual curation
general_qa_0094,GENERAL,What is EPF?,"Employees' Provident Fund - retirement savings scheme. Mandatory for establishments with 20+ employees. Employee contributes 12% of basic salary, employer contributes 12%. Managed by EPFO.",legal_compliance,"epf, provident fund",beginner,Comprehensive manual curation
general_qa_0095,GENERAL,What is ESI?,"Employees' State Insurance - health insurance for employees earning <₹21,000/month. Mandatory for establishments with 10+ employees. Employee: 0.75%, Employer: 3.25% of wages.",legal_compliance,"esi, employee insurance",beginner,Comprehensive manual curation
general_qa_0096,GENERAL,What is minimum wages?,"Minimum wage rates set by state governments for different categories. Employers must pay at least minimum wage. Varies by state, skill level, industry. Check state labor department.",legal_compliance,"minimum wages, wages",beginner,Comprehensive manual curation
general_qa_0097,GENERAL,What is NDA?,"Non-Disclosure Agreement - legal contract to protect confidential information. Use when: Discussing with investors, hiring employees, working with vendors. Prevents information sharing.",legal_compliance,"nda, confidentiality",beginner,Comprehensive manual curation
general_qa_0098,GENERAL,What is employment contract?,"Agreement between employer and employee defining: Role, salary, working hours, leave, termination, confidentiality, non-compete. Must comply with labor laws. Get lawyer to draft.",legal_compliance,"employment contract, offer letter",beginner,Comprehensive manual curation
general_qa_0099,GENERAL,What is founder agreement?,"Agreement between co-founders defining: Equity split, roles, decision-making, vesting, exit terms, IP ownership, dispute resolution. Critical to prevent future conflicts.",legal_compliance,"founder agreement, co-founder",beginner,Comprehensive manual curation
general_qa_0100,GENERAL,What is trademark?,"Symbol, word, or phrase identifying your brand. Protects brand name, logo, tagline. Register with Trademark Registry. Takes 12-18 months. Valid 10 years, renewable.",legal_compliance,"trademark, brand",beginner,Comprehensive manual curation
general_qa_0101,GENERAL,What is patent?,"Exclusive right to invention for 20 years. Must be novel, non-obvious, useful. File with Patent Office. Takes 3-5 years. Expensive (₹1-5L). SIPP scheme helps startups.",legal_compliance,"patent, invention",beginner,Comprehensive manual curation
general_qa_0102,GENERAL,What is copyright?,"Protection for original creative works: software, content, designs. Automatic upon creation. Registration provides legal proof. File with Copyright Office. Lifetime + 60 years.",legal_compliance,copyright,beginner,Comprehensive manual curation
general_qa_0103,GENERAL,What is corporate income tax?,"Tax on company profits. Rates: Domestic companies: 25-30%, New manufacturing companies: 15%, Startups (with IMB certificate): 0% for 3 years. File ITR-6 annually.",taxation,"income tax, corporate tax",beginner,Comprehensive manual curation
general_qa_0104,GENERAL,When to file income tax return?,"Due date: July 31 for companies (extended to Oct 31 if audited). File even if no income. Late filing penalty: ₹5,000-10,000 + interest.",taxation,"itr, tax filing",beginner,Comprehensive manual curation
general_qa_0105,GENERAL,What is TDS?,"Tax Deducted at Source - tax deducted when making payments (salary, rent, professional fees). Deductor deposits to government, gives TDS certificate to deductee. Deductee claims credit in ITR.",taxation,"tds, tax deduction",beginner,Comprehensive manual curation
general_qa_0106,GENERAL,What is advance tax?,"Tax paid in advance during the year (not at year-end). Mandatory if tax liability >₹10,000. Pay in 4 installments: June 15%, Sept 45%, Dec 75%, March 100%.",taxation,advance tax,beginner,Comprehensive manual curation
general_qa_0107,GENERAL,What is reverse charge mechanism?,"Recipient pays GST instead of supplier. Applies to: Imports, GTA services, legal services, director fees, etc. Recipient must be GST registered.",taxation,"rcm, reverse charge",beginner,Comprehensive manual curation
general_qa_0108,GENERAL,What is composition scheme?,"Simplified GST scheme for small businesses (turnover <₹1.5Cr). Pay flat rate (1-6%), quarterly returns, no input credit. Cannot do inter-state supply or e-commerce.",taxation,"composition scheme, gst",beginner,Comprehensive manual curation
general_qa_0109,GENERAL,What is e-way bill?,"Electronic document for goods movement >₹50,000. Generated on ewaybillgst.gov.in. Valid for distance-based duration. Mandatory for inter-state and intra-state transport.",taxation,"e-way bill, transport",beginner,Comprehensive manual curation
general_qa_0110,GENERAL,What is dividend distribution tax?,Tax on dividends paid to shareholders. Abolished from April 2020. Now shareholders pay tax on dividends as per their income slab.,taxation,"ddt, dividend tax",beginner,Comprehensive manual curation
general_qa_0111,GENERAL,What is capital gains tax?,"Tax on profit from selling assets (shares, property). Short-term (held <1 year): As per slab. Long-term (held >1 year): 10% above ₹1L for equity, 20% with indexation for property.",taxation,"capital gains, ltcg, stcg",beginner,Comprehensive manual curation
general_qa_0112,GENERAL,How to open company bank account?,"Documents needed: COI, PAN, MOA/AOA, Board resolution, Address proof, Director's KYC. Visit bank with all directors. Takes 3-7 days. Choose bank with startup benefits.",operations,"bank account, current account",beginner,Comprehensive manual curation
general_qa_0113,GENERAL,What is current account?,"Business bank account for companies. No transaction limit, no interest, monthly charges. Required for GST, business operations. Different from savings account.",operations,"current account, business account",beginner,Comprehensive manual curation
general_qa_0114,GENERAL,How to hire first employee?,"Steps: (1) Define role and salary, (2) Draft employment contract, (3) Collect documents (PAN, Aadhaar, bank), (4) Register for EPF/ESI if applicable, (5) Set up payroll, (6) Issue offer letter, (7) Onboard",operations,"hiring, first employee",beginner,Comprehensive manual curation
general_qa_0115,GENERAL,What is CTC?,"Cost to Company - total cost of employee including: Basic salary, HRA, allowances, bonuses, EPF, ESI, gratuity. Employee's take-home is less than CTC after deductions.",operations,"ctc, salary",beginner,Comprehensive manual curation
general_qa_0116,GENERAL,What is payroll?,"Process of paying employee salaries: Calculate gross, deduct TDS/EPF/ESI, pay net salary, file returns. Use payroll software or CA. Monthly process.",operations,"payroll, salary processing",beginner,Comprehensive manual curation
general_qa_0117,GENERAL,Do I need physical office?,"Not mandatory initially. Can use: (1) Registered office at home (with NOC), (2) Co-working space, (3) Virtual office for address. Physical office needed when scaling team.",operations,"office, workspace",beginner,Comprehensive manual curation
